Date,Adj Close
2025-05-05,198.89
2025-05-01,205.35
2025-04-01,212.50
2025-03-01,222.13
2025-02-01,241.57
2025-01-01,235.74
2024-12-01,250.14
2024-11-01,236.81
2024-10-01,225.41
2024-09-01,232.49
2024-08-01,228.23
2024-07-01,221.34
2024-06-01,209.91
